,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,43.0,0.0,0.0,6.0,37.0,415.0,102.0,300.0,13.0,0.0,921.0
1,8,Anaheim,1279.0,15.0,82.0,440.0,742.0,10070.0,1605.0,7025.0,1440.0,27.0,22733.0
2,44,Brea,74.0,0.0,2.0,23.0,49.0,1292.0,191.0,1052.0,49.0,1.0,2777.0
3,49,Buena Park,206.0,1.0,13.0,77.0,115.0,2066.0,342.0,1415.0,309.0,8.0,4601.0
4,92,Costa Mesa,254.0,4.0,32.0,83.0,135.0,4079.0,668.0,3050.0,361.0,24.0,8782.0
5,99,Cypress,56.0,0.0,2.0,17.0,37.0,1018.0,183.0,771.0,64.0,3.0,2250.0
6,101,Dana Point,65.0,0.0,5.0,13.0,47.0,604.0,129.0,444.0,31.0,2.0,1441.0
7,144,Fountain Valley,106.0,1.0,7.0,17.0,81.0,1469.0,299.0,1063.0,107.0,4.0,3298.0
8,148,Fullerton,452.0,0.0,31.0,137.0,284.0,3937.0,742.0,2872.0,323.0,12.0,8938.0
9,151,Garden Grove,439.0,1.0,16.0,135.0,287.0,4017.0,761.0,2655.0,601.0,21.0,9084.0
10,179,Huntington Beach,313.0,3.0,31.0,83.0,196.0,5470.0,797.0,4352.0,321.0,39.0,11784.0
11,189,Irvine,110.0,2.0,8.0,29.0,71.0,3304.0,570.0,2599.0,135.0,22.0,7039.0
12,199,Laguna Beach,57.0,1.0,6.0,7.0,43.0,548.0,123.0,399.0,26.0,4.0,1413.0
13,200,Laguna Hills,29.0,1.0,4.0,12.0,12.0,620.0,85.0,502.0,33.0,1.0,1499.0
14,201,Laguna Niguel,47.0,0.0,6.0,16.0,25.0,764.0,188.0,541.0,35.0,2.0,1825.0
15,202,Laguna Woods,4.0,0.0,0.0,2.0,2.0,148.0,20.0,121.0,7.0,0.0,506.0
16,203,La Habra,147.0,2.0,7.0,45.0,93.0,1150.0,255.0,789.0,106.0,3.0,2800.0
17,206,Lake Forest,107.0,0.0,8.0,20.0,79.0,1088.0,227.0,798.0,63.0,4.0,2600.0
18,213,La Palma,18.0,0.0,1.0,7.0,10.0,340.0,85.0,227.0,28.0,1.0,930.0
19,229,Los Alamitos,27.0,0.0,2.0,12.0,13.0,357.0,80.0,253.0,24.0,0.0,997.0
20,252,Mission Viejo,73.0,0.0,3.0,28.0,42.0,1197.0,216.0,936.0,45.0,6.0,2798.0
21,275,Newport Beach,101.0,1.0,11.0,27.0,62.0,2151.0,445.0,1611.0,95.0,6.0,4785.0
22,285,Orange,135.0,4.0,8.0,54.0,69.0,2833.0,500.0,2044.0,289.0,26.0,6247.0
23,310,Placentia,107.0,1.0,4.0,29.0,73.0,906.0,183.0,627.0,96.0,2.0,2338.0
24,322,Rancho Santa Margarita,27.0,0.0,2.0,10.0,15.0,319.0,69.0,240.0,10.0,1.0,1015.0
25,349,San Clemente,75.0,0.0,6.0,24.0,45.0,839.0,175.0,603.0,61.0,3.0,2180.0
26,359,San Juan Capistrano,59.0,0.0,3.0,13.0,43.0,519.0,102.0,380.0,37.0,8.0,1523.0
27,368,Santa Ana,1334.0,11.0,55.0,541.0,727.0,7389.0,1032.0,4779.0,1578.0,36.0,17850.0
28,382,Seal Beach,17.0,0.0,1.0,5.0,11.0,545.0,135.0,387.0,23.0,1.0,1507.0
29,401,Stanton,104.0,1.0,3.0,46.0,54.0,630.0,121.0,381.0,128.0,5.0,1874.0
30,420,Tustin,114.0,0.0,11.0,36.0,67.0,1653.0,240.0,1282.0,131.0,9.0,3963.0
31,431,Villa Park,2.0,0.0,0.0,0.0,2.0,87.0,22.0,62.0,3.0,0.0,609.0
32,442,Westminster,284.0,2.0,9.0,88.0,185.0,2875.0,466.0,2086.0,323.0,7.0,6767.0
33,455,Yorba Linda,53.0,0.0,3.0,11.0,39.0,787.0,223.0,532.0,32.0,3.0,2138.0
