,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,35.0,1.0,5.0,,5.0,24.0,273.0,45.0,211.0,17.0,1.0,622.0
1,8,Anaheim,1101.0,14.0,,79.0,418.0,590.0,8196.0,1301.0,5620.0,1275.0,23.0,18625.0
2,44,Brea,53.0,0.0,,5.0,22.0,26.0,1124.0,171.0,897.0,56.0,3.0,2401.0
3,49,Buena Park,217.0,1.0,,13.0,65.0,138.0,2030.0,341.0,1411.0,278.0,2.0,4545.0
4,93,Costa Mesa,318.0,0.0,,45.0,120.0,153.0,3462.0,573.0,2583.0,306.0,18.0,7671.0
5,100,Cypress,51.0,0.0,,3.0,20.0,28.0,752.0,136.0,547.0,69.0,0.0,1706.0
6,102,Dana Point,71.0,0.0,12.0,,7.0,52.0,463.0,61.0,374.0,28.0,2.0,1172.0
7,145,Fountain Valley,86.0,0.0,,0.0,21.0,65.0,1023.0,196.0,759.0,68.0,1.0,2364.0
8,149,Fullerton,339.0,0.0,,55.0,101.0,183.0,3206.0,521.0,2380.0,305.0,25.0,7264.0
9,152,Garden Grove,406.0,5.0,,17.0,124.0,260.0,3098.0,646.0,1976.0,476.0,24.0,7184.0
10,180,Huntington Beach,391.0,1.0,45.0,,100.0,245.0,4238.0,643.0,3295.0,300.0,20.0,9458.0
11,190,Irvine,120.0,0.0,,28.0,36.0,56.0,3045.0,575.0,2344.0,126.0,8.0,6528.0
12,201,Laguna Beach,64.0,0.0,,4.0,7.0,53.0,462.0,98.0,340.0,24.0,2.0,1255.0
13,202,Laguna Hills,45.0,0.0,10.0,,11.0,24.0,441.0,92.0,316.0,33.0,1.0,1175.0
14,203,Laguna Niguel,73.0,1.0,11.0,,19.0,42.0,554.0,100.0,423.0,31.0,2.0,1459.0
15,204,Laguna Woods,6.0,0.0,,0.0,3.0,3.0,118.0,9.0,104.0,5.0,0.0,452.0
16,205,La Habra,105.0,2.0,,7.0,46.0,50.0,1049.0,152.0,815.0,82.0,3.0,2516.0
17,208,Lake Forest,104.0,0.0,19.0,,18.0,67.0,682.0,127.0,493.0,62.0,2.0,1782.0
18,215,La Palma,12.0,0.0,,1.0,7.0,4.0,247.0,86.0,142.0,19.0,0.0,733.0
19,231,Los Alamitos,16.0,0.0,,2.0,6.0,8.0,204.0,57.0,118.0,29.0,0.0,671.0
20,254,Mission Viejo,71.0,5.0,9.0,,23.0,34.0,864.0,147.0,679.0,38.0,1.0,2125.0
21,277,Newport Beach,109.0,0.0,,17.0,21.0,71.0,1880.0,357.0,1419.0,104.0,1.0,4256.0
22,287,Orange,142.0,0.0,,10.0,53.0,79.0,2241.0,366.0,1631.0,244.0,23.0,5076.0
23,313,Placentia,82.0,1.0,,3.0,14.0,64.0,732.0,159.0,501.0,72.0,5.0,1946.0
24,325,Rancho Santa Margarita,27.0,0.0,10.0,,1.0,16.0,203.0,39.0,148.0,16.0,0.0,785.0
25,351,San Clemente,69.0,0.0,12.0,,17.0,40.0,687.0,129.0,485.0,73.0,1.0,1864.0
26,361,San Juan Capistrano,62.0,2.0,10.0,,14.0,36.0,383.0,61.0,282.0,40.0,2.0,1253.0
27,370,Santa Ana,1260.0,18.0,,115.0,452.0,675.0,5784.0,793.0,3685.0,1306.0,21.0,14479.0
28,384,Seal Beach,26.0,0.0,1.0,,7.0,18.0,494.0,88.0,372.0,34.0,0.0,1424.0
29,403,Stanton,124.0,2.0,14.0,,44.0,64.0,684.0,127.0,418.0,139.0,1.0,2020.0
30,422,Tustin,132.0,0.0,,16.0,39.0,77.0,1356.0,193.0,1047.0,116.0,7.0,3405.0
31,432,Villa Park,5.0,0.0,2.0,,2.0,1.0,84.0,29.0,50.0,5.0,0.0,610.0
32,443,Westminster,194.0,2.0,,20.0,74.0,98.0,2210.0,381.0,1534.0,295.0,10.0,5261.0
33,456,Yorba Linda,45.0,1.0,13.0,,7.0,24.0,702.0,139.0,506.0,57.0,2.0,1952.0
